time,target_speed,current_speed,throttle,brake
18.0767,1.99997,1.96029,0,0
18.1258,2.0001,1.98109,0,0
18.1689,2.0001,1.97557,0,0
18.2142,2,1.95342,0,0
18.2645,1.99992,1.92651,0,0
18.3181,1.99996,1.88734,0.254838,0
18.3713,1.99993,1.85336,0.272911,0
18.4313,1.99991,1.83286,0.285457,0
18.4828,1.99987,1.85432,0.274711,0
18.546,1.99998,1.90284,0,0
18.5817,2,1.94074,0,0
18.6321,2.00003,1.98999,0,0
18.6839,2,1.99187,0,0
18.7392,1.99993,1.96406,0,0
18.8101,1.99993,1.96406,0,0
18.8539,1.99986,1.88711,0.300496,0
18.9113,1.99993,1.88711,0.284245,0
18.9616,1.99989,1.8369,0.325102,0
18.9903,1.99989,1.8369,0.319833,0
19.0653,1.99995,1.91924,0,0
19.1238,1.99995,1.91924,0,0
19.1891,2.0001,2.01169,0,0
19.2437,2.0001,2.01169,0,0
19.296,1.99989,1.9681,0,0
19.3453,1.99998,1.94642,0,0
19.3922,1.99999,1.90227,0,0
19.4593,1.99994,1.89464,0.309959,0
19.5017,1.99983,1.81841,0.365777,0
19.5598,2.00004,1.79707,0.368475,0
19.6038,1.99996,1.82367,0.356047,0
19.6608,2,1.87836,0.337464,0
19.7033,2.00009,1.96083,0,0
19.7502,2.00002,2.00927,0,0
19.8084,2.00002,2.07957,0,0
19.8637,2.00002,2.08157,0,0
19.9161,2,2.05407,0,0
19.9617,2.00009,2.03131,0,0
20.0111,1.99994,1.99728,0,0
20.0644,2,1.95873,0,0
20.1107,1.99987,1.91506,0,0
20.1673,1.99995,1.88337,0.368767,0
20.2152,2.00008,1.83406,0.399853,0
20.2709,2.00008,1.81256,0.409597,0
20.3202,1.99996,1.85332,0.386601,0
20.3705,2.00001,1.90781,0,0
20.4256,2.00005,2.0235,0,0
20.4756,2.00005,2.0235,0,0
20.5193,2.00005,2.06686,0,0
20.5846,2.00001,2.06686,0,0
20.631,1.99992,2.01327,0,0
20.6832,1.99991,1.99728,0,0
20.7286,1.99999,1.94215,0,0
20.7752,1.9998,1.91904,0,0
20.8479,2.00008,1.85107,0.429037,0
20.8996,2.00008,1.82225,0.437102,0
20.9635,2.00007,1.79906,0.454889,0
20.9985,2.00007,1.79906,0.459996,0
21.0543,1.9999,1.93474,0,0
21.1016,2.00007,1.99684,0,0
21.1684,2,2.12002,0.313095,0
21.2232,2,2.12002,0.342866,0
21.2669,2.00002,2.14482,0.318809,0
